name,date_utc,success,rocket,launchpad,flight_number
Nusantara Satu (PSN-6) / S5 / Beresheet,2019-02-22T01:45:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,75
CCtCap Demo Mission 1,2019-03-02T07:45:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,76
ArabSat 6A,2019-04-11T22:35:00.000Z,1,5e9d0d95eda69974db09d1ed,5e9e4502f509094188566f88,77
CRS-17,2019-05-04T06:48:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,78
Starlink v0.9,2019-05-24T02:30:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,79
RADARSAT Constellation,2019-06-12T14:17:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,80
STP-2,2019-06-25T03:30:00.000Z,1,5e9d0d95eda69974db09d1ed,5e9e4502f509094188566f88,81
CRS-18,2019-07-25T22:01:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,82
Amos-17,2019-08-06T22:52:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,83
Starlink-1,2019-11-11T14:56:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,84
CRS-19,2019-12-05T17:29:23.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,85
JCSat 18 / Kacific 1,2019-12-17T00:10:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,86
Starlink-2,2020-01-07T02:19:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,87
Crew Dragon In Flight Abort Test,2020-01-19T14:00:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,88
Starlink-3,2020-01-29T14:06:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,89
Starlink-4,2020-02-17T15:05:55.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,90
CRS-20,2020-03-07T04:50:31.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,91
Starlink-5,2020-03-18T12:16:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,92
Starlink-6,2020-04-22T19:30:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,93
CCtCap Demo Mission 2,2020-05-30T19:22:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,94
Starlink-7,2020-06-04T01:25:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,95
Starlink-8 & SkySat 16-18,2020-06-13T09:21:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,96
GPS III SV03 (Columbus),2020-06-30T19:55:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,97
ANASIS-II,2020-07-20T21:30:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,98
Starlink-9 (v1.0) & BlackSky Global 5-6,2020-08-07T05:12:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,99
Starlink-10 (v1.0) & SkySat 19-21,2020-08-18T14:31:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,100
"SAOCOM 1B, GNOMES-1, Tyvak-0172",2020-08-30T23:18:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,101
Starlink-11 (v1.0),2020-09-03T12:46:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,102
Starlink-12 (v1.0),2020-10-06T11:29:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,103
Starlink-13 (v1.0),2020-10-18T12:25:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,104
Starlink-14 (v1.0),2020-10-24T15:31:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,105
GPS III SV04 (Sacagawea),2020-11-05T23:24:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,106
Crew-1,2020-11-16T00:27:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,107
Sentinel-6 Michael Freilich,2020-11-21T17:17:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,108
Starlink-15 (v1.0),2020-11-25T02:13:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,109
CRS-21,2020-12-06T16:17:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,110
SXM-7,2020-12-13T17:30:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,111
NROL-108,2020-12-19T14:00:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,112
Turksat 5A,2021-01-08T02:15:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,113
Starlink-16 (v1.0),2021-01-20T13:02:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,114
Transporter-1,2021-01-24T15:00:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,115
Starlink-18 (v1.0),2021-02-04T06:19:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,116
Starlink-19 (v1.0),2021-02-16T03:59:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,117
Starlink-17 (v1.0),2021-03-04T08:24:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,118
Starlink-20 (v1.0),2021-03-11T08:13:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,119
Starlink-21 (v1.0),2021-03-14T10:01:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,120
Starlink-22 (v1.0),2021-03-24T08:28:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,121
Starlink-23 (v1.0),2021-04-07T16:34:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,122
Crew-2,2021-04-23T09:49:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,123
Starlink-24 (v1.0),2021-04-29T03:44:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,124
Starlink-25 (v1.0),2021-05-04T19:01:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,125
Starlink-27 (v1.0),2021-05-09T06:42:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,126
Starlink-26 (v1.0) + Capella-6 + Tyvak-0130,2021-05-15T22:54:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,127
